Calendar,Category,Event,Starts,Ends,Notes,Frequency,Options,Repetition Type,Sunday?,Monday?,Tuesday?,Wednesday?,Thursday?,Friday?,Saturday?
Advertising,Print,XYZ Campaign with QR Code,2014-04-16,2014-04-30,,,,none,,,,,,,
Advertising,Radio,XYZ Campaign,2014-04-16,2014-04-30,,,,none,,,,,,,
Advertising,TV,XYZ Campaign,2014-04-16,2014-04-30,,,,none,,,,,,,
Interactive,Affiliate Programs,Affiliate Recruitment Incentive Program,2014-04-01,2014-04-30,,,,none,,,,,,,
Interactive,Blog/RSS,p-Visit us at conference & receive gift,2014-04-01,2014-04-14,,,,none,,,,,,,
Interactive,Blog/RSS,Daily Conf. Recap,2014-04-16,2014-04-23,,,,none,,,,,,,
Interactive,Email,p-Visit us at conference & receive free gift,2014-04-01,2014-04-14,,,,none,,,,,,,
Interactive,Email,Upcoming Sales Promo,2014-04-24,2014-04-30,,,,none,,,,,,,
Interactive,Keyword/Search,Keyword/Search Advertising,2014-04-01,2014-04-30,,,,none,,,,,,,
Interactive,Mobile,XYZ Campaign QR Code - product info,2014-04-16,2014-04-30,,,,none,,,,,,,
Interactive,Online Auctions/Stores,Online Auction & Stores,2014-04-01,2014-04-30,,,,none,,,,,,,
Interactive,Online Directory Listings & Classifieds,Online Directory Listings & Classified,2014-04-01,2014-04-30,,,,none,,,,,,,
Interactive,Podcast,Highlights,2014-04-24,2014-04-30,,,,none,,,,,,,
Interactive,Site Targeted Ads,Promote Conference,2014-04-01,2014-04-07,,,,none,,,,,,,
Interactive,"Social Media - Twitter, Facebook, etc.",Facebook Announce,2014-04-01,2014-04-07,,,,none,,,,,,,
Interactive,"Social Media - Twitter, Facebook, etc.",Pre Conf Tweets,2014-04-08,2014-04-15,,,,none,,,,,,,
Interactive,"Social Media - Twitter, Facebook, etc.",Live Tweets,2014-04-16,2014-04-23,,,,none,,,,,,,
Interactive,"Social Media - Twitter, Facebook, etc.",Post Conf. Tweets,2014-04-24,2014-04-30,,,,none,,,,,,,
Interactive,"Social Media - Twitter, Facebook, etc.",Upcoming Sales Promo,2014-04-24,2014-04-30,,,,none,,,,,,,
Interactive,Website Messaging,Promo,2014-04-24,2014-04-30,,,,none,,,,,,,
Interactive,Website Messaging,Coupon,2014-05-01,2014-05-07,,,,none,,,,,,,
Online Business,Regular,Value Props + Last Day for Winter Clearance (8033),2014-05-01,2014-05-01,,,,none,,,,,,,
Online Business,Regular,Welcome to The HUB - Launch & Sign Up & Band of the Month (7990) -Include Low-Responders,2014-05-02,2014-05-02,,,,none,,,,,,,
Online Business,Regular,British Invasion Sweeps (8384) -Include Low-Responders,2014-05-04,2014-05-04,,,,none,,,,,,,
Online Business,Regular,Gibson 2014 Sweeps (8385),2014-05-06,2014-05-06,,,,none,,,,,,,
Online Business,Regular,The British Invasion is Here (8386),2014-05-09,2014-05-09,,,,none,,,,,,,
Online Business,Regular,Merch Segmented + 12 Month Financing (TBD) -Include Low-Responders,2014-05-12,2014-05-12,,,,none,,,,,,,
Online Business,Regular,President's Day Celebration Starts Now (8387) -Include Low-Responders -Include Non-Responders,2014-05-14,2014-05-14,,,,none,,,,,,,
Online Business,Regular,British Invasion Sweeps + Gibson Sweeps + Merch Related Promos + Pres Day Coupon (8404),2014-05-15,2014-05-15,,,,none,,,,,,,
Online Business,Regular,Presidents' Day Celebration (8408) -Include Low-Responders,2014-05-17,2014-05-17,,,,none,,,,,,,
Online Business,Regular,Merch Segmented (TBD) -Include Low-Responders,2014-05-18,2014-05-18,,,,none,,,,,,,
Online Business,Regular,PRG GOW Sign-Up (8032) -Guitar Segment -PRG List,2014-05-22,2014-05-22,,,,none,,,,,,,
Online Business,Regular,60th Anniversary Sweeps & Last Day for BOTH Sweeps (8401),2014-05-24,2014-05-24,,,,none,,,,,,,
Online Business,Regular,Merch Segmented + Digital Catalog (TBD) -Include Low-Responders,2014-05-25,2014-05-25,,,,none,,,,,,,
Online Business,Regular,This Month on the Hub (TBD) -Include Low-Responders -Include Non-Responders,2014-05-27,2014-05-27,,,,none,,,,,,,
Online Business,Regular,Close Out Your Wishlist (TBD),2014-05-28,2014-05-28,,,,none,,,,,,,
Online Business,Survey,MF Panel Recruit Survey,2014-05-22,2014-05-22,,,,none,,,,,,,
Public Relations,Press Releases,Pre Conf,2014-04-10,2014-04-17,,,,none,,,,,,,
Public Relations,Press Releases,Post Conf,2014-04-26,2014-04-30,,,,none,,,,,,,
Public Relations,Special Events & Sponsorships,Industry Conference,2014-04-15,2014-04-25,,,,none,,,,,,,
Research,Customer Surveys,Survey,2014-04-08,2014-04-23,,,,none,,,,,,,
Research,p-Advertising Effectiveness,Campaign Analysis,2014-04-01,2014-04-30,,,,none,,,,,,,
Retail Business,CRM,CRM: Bounceback,2014-04-27,2014-04-27,,,,none,,,,,,,
Retail Business,CRM,CRM: Rentals (2) - Include Low Responders,2014-04-28,2014-04-28,,,,none,,,,,,,
Retail Business,CRM,CRM: String Club,2014-05-02,2014-05-02,,,,none,,,,,,,
Retail Business,CRM,CRM: Stick Club,2014-05-02,2014-05-02,,,,none,,,,,,,
Retail Business,CRM,CRM: Expired String Club,2014-05-03,2014-05-03,,,,none,,,,,,,
Retail Business,CRM,CRM: Rentals (3) - Include Low Responders,2014-05-04,2014-05-04,,,,none,,,,,,,
Retail Business,CRM,CRM: Rentals (1) - Include Low Responders,2014-05-11,2014-05-11,,,,none,,,,,,,
Retail Business,CRM,CRM: Rentals (2) - Include Low Responders,2014-05-18,2014-05-18,,,,none,,,,,,,
Retail Business,CRM,CRM: Rentals (6) - Include Low Responders,2014-05-25,2014-05-25,,,,none,,,,,,,
Retail Business,CRM,CRM: String Club,2014-06-02,2014-06-02,,,,none,,,,,,,
Retail Business,CRM,CRM: Stick Club,2014-06-02,2014-06-02,,,,none,,,,,,,
Retail Business,CRM,CRM: Winback & In Cycle,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,CRM,CRM: Friends and Family,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,CRM,CRM: GC Price Tracker,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,CRM,CRM: Winback & In Cycle,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,CRM,CRM: Friends and Family,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,CRM,CRM: GC Price Tracker,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-04-29,2014-04-29,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-05,2014-05-05,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-12,2014-05-12,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-19,2014-05-19,,,,none,,,,,,,
Retail Business,Global,Flash Deals,2014-05-26,2014-05-26,,,,none,,,,,,,
Retail Business,Global,Guitar Care Email Acoustic,2014-05-05,2014-05-05,,,,none,,,,,,,
Retail Business,Global,Guitar Care Email Electric,2014-05-05,2014-05-05,,,,none,,,,,,,
Retail Business,Global,50th Kickoff - Include Low Responders,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,50th Kickoff San Ysidro,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,50th Kickoff Dallas,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,50th Kickoff Atlanta,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,GC Pro Vocal Chain,2014-04-30,2014-04-30,,,,none,,,,,,,
Retail Business,Global,New and Exclusive - Include Low Responders,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,New and Exclusive San Ysidro,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,New and Exclusive Dallas,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,New and Exclusive Atlanta,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,GC Pro New and Exclusive,2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Global,President's Day Sale - Include Low Responders - Include Non Responders,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,President's Day Sale San Ysidro,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,President's Day Sale Dallas,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,President's Day Sale Atlanta,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,GC Pro President's Day Sale,2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale - Include Low Responders,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale San Ysidro,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale Dallas,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,$29 Accessory Sale Atlanta,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,GC Pro Monitors/Monitoring,2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Global,Green Tag (elixir sub) PC Test - Include Low Responders,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,Green Tag San Ysidro,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,Green Tag Dallas,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,Green Tag Atlanta,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,GC Pro Green Tag,2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-07,2014-05-07,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-14,2014-05-14,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-21,2014-05-21,,,,none,,,,,,,
Retail Business,Global,GC Newsletter,2014-05-28,2014-05-28,,,,none,,,,,,,
Retail Business,Global,Buyer's Guide,2014-05-01,2014-05-01,,,,none,,,,,,,
Retail Business,Global,Buyer's Guide,2014-05-15,2014-05-15,,,,none,,,,,,,
Retail Business,Global,Pedal Month Launch,2014-06-01,2014-06-01,,,,none,,,,,,,
Retail Business,Insights,CI: Sales Circ Survey,2014-04-27,2014-04-27,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey Invite 3 (600K 12M Purch.),2014-05-02,2014-05-02,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey eCerts 2 (include outstanding invite 1 respondents),2014-05-09,2014-05-09,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey Invite 4 (600K 12M Purch.),2014-05-16,2014-05-16,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey eCerts 3,2014-05-23,2014-05-23,,,,none,,,,,,,
Retail Business,Insights,CI: Census Survey Invite 5 (600K 12M Purch.),2014-06-02,2014-06-02,,,,none,,,,,,,
Retail Business,Local Events,Local Events (4) - Include Low Responders,2014-04-28,2014-04-28,,,,none,,,,,,,
Retail Business,Local Events,Local Events (5) - Include Low Responders,2014-05-04,2014-05-04,,,,none,,,,,,,
Retail Business,Local Events,Local Events (2),2014-05-06,2014-05-06,,,,none,,,,,,,
Retail Business,Local Events,Local Events (3) - Include Low Responders,2014-05-11,2014-05-11,,,,none,,,,,,,
Retail Business,Local Events,Local Events (1),2014-05-13,2014-05-13,,,,none,,,,,,,
Retail Business,Local Events,Local Events (6) - Include Low Responders,2014-05-18,2014-05-18,,,,none,,,,,,,
Retail Business,Local Events,Local Events (1),2014-05-20,2014-05-20,,,,none,,,,,,,
Retail Business,Local Events,Local Events (11) - Include Low Responders,2014-05-25,2014-05-25,,,,none,,,,,,,
Retail Business,Local Events,Local Events (1),2014-05-27,2014-05-27,,,,none,,,,,,,
Retail Business,MMS,MMS (2) -Include Low Responders,2014-04-28,2014-04-28,,,,none,,,,,,,
Retail Business,MMS,MMS (3) -Include Low Responders,2014-05-04,2014-05-04,,,,none,,,,,,,
Retail Business,MMS,MMS (4) -Include Low Responders,2014-05-11,2014-05-11,,,,none,,,,,,,
Retail Business,MMS,MMS (4) -Include Low Responders,2014-05-18,2014-05-18,,,,none,,,,,,,
Retail Business,MMS,MMS (3) -Include Low Responders,2014-05-25,2014-05-25,,,,none,,,,,,,
Sales Support,Collateral & Presentations,Product Brochures,2014-04-10,2014-04-17,,,,none,,,,,,,
Sales Support,Collateral & Presentations,Industry Pres.,2014-04-15,2014-04-25,,,,none,,,,,,,
Sales Support,Sales Promotions,Every Friday,2014-01-17,2014-03-31,,,,weekly,,,,,,true,
Sales Support,Sales Promotions,Sales Promo (offer),2014-01-25,2014-04-07,,,,none,,,,,,,
